Known wins loaded: 65693
Known losses loaded: 4782
Loaded 79631 moves from map in 59s.
279/50652 done, 2669s remaining
1925/50652 done, 633s remaining
2204/50652 done, 775s remaining
2311/50652 done, 1111s remaining
2922/50652 done, 1002s remaining
5016/50652 done, 638s remaining
5959/50652 done, 625s remaining
10206/50652 done, 364s remaining
10367/50652 done, 402s remaining
10513/50652 done, 441s remaining
10632/50652 done, 480s remaining
10656/50652 done, 519s remaining
10876/50652 done, 556s remaining
11022/50652 done, 554s remaining
11160/50652 done, 592s remaining
11220/50652 done, 630s remaining
11246/50652 done, 669s remaining
11253/50652 done, 709s remaining
11312/50652 done, 747s remaining
11414/50652 done, 784s remaining
11517/50652 done, 782s remaining
11610/50652 done, 819s remaining
11684/50652 done, 857s remaining
11730/50652 done, 895s remaining
11814/50652 done, 893s remaining
11857/50652 done, 931s remaining
11952/50652 done, 967s remaining
11976/50652 done, 1005s remaining
12024/50652 done, 1042s remaining
12055/50652 done, 1080s remaining
12129/50652 done, 1078s remaining
12189/50652 done, 1115s remaining
12194/50652 done, 1153s remaining
12287/50652 done, 1189s remaining
12295/50652 done, 1189s remaining
12344/50652 done, 1225s remaining
12384/50652 done, 1262s remaining
12408/50652 done, 1300s remaining
12484/50652 done, 1297s remaining
12552/50652 done, 1333s remaining
12695/50652 done, 1328s remaining
12791/50652 done, 1362s remaining
12885/50652 done, 1397s remaining
12985/50652 done, 1431s remaining
Analyzing round 17 move took 11s
13039/50652 done, 1466s remaining
13079/50652 done, 1502s remaining
13136/50652 done, 1538s remaining
13164/50652 done, 1574s remaining
13247/50652 done, 1571s remaining
13367/50652 done, 1603s remaining
13592/50652 done, 1593s remaining
13641/50652 done, 1628s remaining
13698/50652 done, 1625s remaining
13730/50652 done, 1661s remaining
13739/50652 done, 1697s remaining
13781/50652 done, 1732s remaining
13791/50652 done, 1732s remaining
13805/50652 done, 1768s remaining
13840/50652 done, 1803s remaining
13901/50652 done, 1837s remaining
13917/50652 done, 1836s remaining
13933/50652 done, 1872s remaining
13985/50652 done, 1906s remaining
14048/50652 done, 1903s remaining
14096/50652 done, 1937s remaining
14166/50652 done, 1933s remaining
14178/50652 done, 1969s remaining
14236/50652 done, 2002s remaining
14395/50652 done, 1994s remaining
Analyzing round 17 move took 16s
14480/50652 done, 2025s remaining
Analyzing round 17 move took 10s
14481/50652 done, 2061s remaining
14486/50652 done, 2061s remaining
14515/50652 done, 2095s remaining
14619/50652 done, 2089s remaining
14667/50652 done, 2123s remaining
14700/50652 done, 2157s remaining
14720/50652 done, 2155s remaining
14754/50652 done, 2189s remaining
14838/50652 done, 2220s remaining
Analyzing round 17 move took 10s
14909/50652 done, 2216s remaining
14915/50652 done, 2251s remaining
14922/50652 done, 2286s remaining
14926/50652 done, 2286s remaining
14936/50652 done, 2321s remaining
14979/50652 done, 2354s remaining
15114/50652 done, 2345s remaining
15127/50652 done, 2344s remaining
15244/50652 done, 2372s remaining
15316/50652 done, 2367s remaining
15369/50652 done, 2399s remaining
15416/50652 done, 2396s remaining
15440/50652 done, 2429s remaining
15463/50652 done, 2428s remaining
15511/50652 done, 2459s remaining
15541/50652 done, 2492s remaining
15559/50652 done, 2491s remaining
15629/50652 done, 2521s remaining
15647/50652 done, 2520s remaining
15655/50652 done, 2554s remaining
15692/50652 done, 2552s remaining
15753/50652 done, 2582s remaining
15767/50652 done, 2581s remaining
15791/50652 done, 2614s remaining
15837/50652 done, 2611s remaining
15910/50652 done, 2640s remaining
15985/50652 done, 2634s remaining
16082/50652 done, 2627s remaining
16144/50652 done, 2657s remaining
16206/50652 done, 2652s remaining
16312/50652 done, 2644s remaining
16411/50652 done, 2636s remaining
16415/50652 done, 2670s remaining
16461/50652 done, 2666s remaining
16628/50652 done, 2653s remaining
16709/50652 done, 2681s remaining
16807/50652 done, 2673s remaining
16947/50652 done, 2662s remaining
17081/50652 done, 2652s remaining
17169/50652 done, 2645s remaining
17217/50652 done, 2641s remaining
17231/50652 done, 2673s remaining
Analyzing round 17 move took 18s
17324/50652 done, 2699s remaining
17432/50652 done, 2690s remaining
17491/50652 done, 2686s remaining
17536/50652 done, 2715s remaining
17572/50652 done, 2712s remaining
17616/50652 done, 2741s remaining
17653/50652 done, 2738s remaining
17769/50652 done, 2729s remaining
Analyzing round 17 move took 15s
17799/50652 done, 2759s remaining
17852/50652 done, 2755s remaining
17915/50652 done, 2782s remaining
17998/50652 done, 2775s remaining
18029/50652 done, 2772s remaining
18066/50652 done, 2802s remaining
18100/50652 done, 2799s remaining
18247/50652 done, 2786s remaining
18307/50652 done, 2814s remaining
18348/50652 done, 2810s remaining
18403/50652 done, 2805s remaining
Analyzing round 17 move took 16s
18529/50652 done, 2826s remaining
Analyzing round 17 move took 10s
18543/50652 done, 2857s remaining
Analyzing round 17 move took 14s
18556/50652 done, 2888s remaining
Analyzing round 17 move took 10s
18562/50652 done, 2920s remaining
Analyzing round 17 move took 13s
18596/50652 done, 2949s remaining
Analyzing round 17 move took 11s
18675/50652 done, 2941s remaining
Analyzing round 17 move took 13s
18699/50652 done, 2971s remaining
Analyzing round 17 move took 15s
18700/50652 done, 3003s remaining
18722/50652 done, 3001s remaining
19112/50652 done, 2933s remaining
19950/50652 done, 2763s remaining
20354/50652 done, 2666s remaining
20407/50652 done, 2691s remaining
20413/50652 done, 2691s remaining
20639/50652 done, 2671s remaining
20667/50652 done, 2668s remaining
21049/50652 done, 2605s remaining
22243/50652 done, 2386s remaining
22555/50652 done, 2332s remaining
23251/50652 done, 2219s remaining
24110/50652 done, 2070s remaining
24478/50652 done, 2041s remaining
24648/50652 done, 2002s remaining
24939/50652 done, 1979s remaining
25596/50652 done, 1879s remaining
26342/50652 done, 1798s remaining
26740/50652 done, 1745s remaining
26928/50652 done, 1731s remaining
27130/50652 done, 1717s remaining
27140/50652 done, 1716s remaining
27864/50652 done, 1640s remaining
28749/50652 done, 1533s remaining
28777/50652 done, 1531s remaining
29090/50652 done, 1509s remaining
29401/50652 done, 1466s remaining
29595/50652 done, 1452s remaining
Analyzing round 18 move took 33s
29710/50652 done, 1465s remaining
29730/50652 done, 1485s remaining
30002/50652 done, 1445s remaining
30065/50652 done, 1441s remaining
30444/50652 done, 1414s remaining
30642/50652 done, 1400s remaining
30750/50652 done, 1393s remaining
30990/50652 done, 1376s remaining
31046/50652 done, 1372s remaining
31318/50652 done, 1353s remaining
31689/50652 done, 1308s remaining
31751/50652 done, 1323s remaining
31829/50652 done, 1317s remaining
32775/50652 done, 1215s remaining
33400/50652 done, 1155s remaining
33976/50652 done, 1100s remaining
33990/50652 done, 1116s remaining
35038/50652 done, 1014s remaining
35314/50652 done, 996s remaining
35861/50652 done, 946s remaining
36587/50652 done, 886s remaining
Analyzing round 18 move took 12s
37614/50652 done, 808s remaining
37636/50652 done, 806s remaining
37965/50652 done, 786s remaining
38291/50652 done, 766s remaining
38415/50652 done, 758s remaining
38552/50652 done, 750s remaining
Analyzing round 18 move took 11s
38815/50652 done, 733s remaining
39487/50652 done, 681s remaining
41007/50652 done, 569s remaining
41409/50652 done, 536s remaining
42223/50652 done, 488s remaining
42450/50652 done, 467s remaining
43063/50652 done, 432s remaining
43706/50652 done, 388s remaining
44564/50652 done, 334s remaining
45235/50652 done, 297s remaining
45354/50652 done, 291s remaining
45511/50652 done, 282s remaining
45601/50652 done, 277s remaining
45736/50652 done, 270s remaining
45747/50652 done, 269s remaining
46034/50652 done, 253s remaining
Analyzing round 18 move took 17s
46254/50652 done, 246s remaining
46450/50652 done, 235s remaining
46454/50652 done, 235s remaining
46456/50652 done, 234s remaining
46738/50652 done, 219s remaining
46899/50652 done, 210s remaining
Analyzing round 18 move took 19s
46901/50652 done, 213s remaining
Analyzing round 18 move took 10s
46904/50652 done, 213s remaining
Analyzing round 18 move took 16s
46905/50652 done, 213s remaining
Analyzing round 18 move took 24s
46906/50652 done, 217s remaining
46943/50652 done, 215s remaining
46980/50652 done, 212s remaining
47386/50652 done, 189s remaining
47393/50652 done, 189s remaining
48635/50652 done, 114s remaining
50090/50652 done, 31s remaining
Round   Moves  Terminal      Wins    Losses Different
 1          0         0         0         0         0
 2          0         0         0         0         0
 3          0         0         0         0         0
 4          0         0         0         0         0
 5          0         0         0         0         0
 6          0         0         0         0         0
 7          0         0         0         0         0
 8          0         0         0         0         0
 9          0         0         0         0         0
10          0         0         0         0         0
11         53        53        52         0         0
12        174       174       174         0         0
13        351       351       346         0         3
14       1191      1191      1180         5         3
15       1707      1707      1664         9        11
16       6727      6727      6507       191         8
17       9046      9046      7104       354       432
18      31403     31403     28499      1929       194
------------------------------------------------------
Total   79631     50652     45526      2488       651
Analysis time: 2813s
