Known wins loaded: 65693
Known losses loaded: 4782
Loaded 79563 moves from map in 62s.
278/50614 done, 2466s remaining
1928/50614 done, 584s remaining
2207/50614 done, 822s remaining
2314/50614 done, 1062s remaining
3322/50614 done, 851s remaining
5326/50614 done, 588s remaining
6551/50614 done, 528s remaining
10254/50614 done, 363s remaining
10486/50614 done, 361s remaining
10588/50614 done, 400s remaining
10643/50614 done, 439s remaining
10826/50614 done, 477s remaining
10886/50614 done, 516s remaining
11044/50614 done, 553s remaining
11164/50614 done, 552s remaining
11241/50614 done, 629s remaining
11250/50614 done, 629s remaining
11300/50614 done, 668s remaining
11409/50614 done, 705s remaining
11501/50614 done, 743s remaining
11583/50614 done, 780s remaining
11681/50614 done, 778s remaining
11730/50614 done, 816s remaining
11815/50614 done, 853s remaining
11861/50614 done, 891s remaining
11952/50614 done, 889s remaining
11976/50614 done, 927s remaining
12024/50614 done, 964s remaining
12056/50614 done, 1002s remaining
12141/50614 done, 1038s remaining
12189/50614 done, 1075s remaining
12197/50614 done, 1075s remaining
12293/50614 done, 1111s remaining
12342/50614 done, 1148s remaining
12372/50614 done, 1185s remaining
12401/50614 done, 1222s remaining
12482/50614 done, 1220s remaining
12555/50614 done, 1255s remaining
12783/50614 done, 1248s remaining
12789/50614 done, 1286s remaining
12883/50614 done, 1320s remaining
12983/50614 done, 1317s remaining
Analyzing round 17 move took 10s
13037/50614 done, 1390s remaining
13077/50614 done, 1426s remaining
13134/50614 done, 1424s remaining
13162/50614 done, 1460s remaining
13245/50614 done, 1494s remaining
13398/50614 done, 1488s remaining
13596/50614 done, 1480s remaining
13639/50614 done, 1515s remaining
13696/50614 done, 1550s remaining
13728/50614 done, 1549s remaining
13737/50614 done, 1585s remaining
13779/50614 done, 1620s remaining
13790/50614 done, 1657s remaining
13808/50614 done, 1693s remaining
13849/50614 done, 1691s remaining
13899/50614 done, 1725s remaining
13918/50614 done, 1724s remaining
13933/50614 done, 1760s remaining
13985/50614 done, 1794s remaining
14058/50614 done, 1791s remaining
14133/50614 done, 1824s remaining
14175/50614 done, 1858s remaining
14234/50614 done, 1855s remaining
14394/50614 done, 1847s remaining
Analyzing round 17 move took 14s
14478/50614 done, 1879s remaining
Analyzing round 17 move took 10s
14479/50614 done, 1915s remaining
14484/50614 done, 1951s remaining
14545/50614 done, 1947s remaining
14617/50614 done, 1979s remaining
14664/50614 done, 1977s remaining
14697/50614 done, 2011s remaining
14717/50614 done, 2046s remaining
14751/50614 done, 2044s remaining
14835/50614 done, 2075s remaining
14906/50614 done, 2071s remaining
14912/50614 done, 2106s remaining
14922/50614 done, 2141s remaining
14927/50614 done, 2141s remaining
14973/50614 done, 2174s remaining
14991/50614 done, 2208s remaining
15119/50614 done, 2200s remaining
15188/50614 done, 2196s remaining
15312/50614 done, 2224s remaining
15378/50614 done, 2219s remaining
15413/50614 done, 2252s remaining
15455/50614 done, 2250s remaining
15466/50614 done, 2284s remaining
15535/50614 done, 2280s remaining
15539/50614 done, 2314s remaining
15589/50614 done, 2346s remaining
15637/50614 done, 2343s remaining
15649/50614 done, 2377s remaining
15686/50614 done, 2375s remaining
15744/50614 done, 2406s remaining
15762/50614 done, 2404s remaining
15812/50614 done, 2436s remaining
15853/50614 done, 2433s remaining
15947/50614 done, 2461s remaining
15993/50614 done, 2458s remaining
16126/50614 done, 2448s remaining
16186/50614 done, 2478s remaining
16307/50614 done, 2470s remaining
16406/50614 done, 2462s remaining
16410/50614 done, 2496s remaining
16508/50614 done, 2489s remaining
16623/50614 done, 2481s remaining
16703/50614 done, 2475s remaining
16850/50614 done, 2464s remaining
16984/50614 done, 2454s remaining
17102/50614 done, 2446s remaining
17206/50614 done, 2472s remaining
17221/50614 done, 2471s remaining
Analyzing round 17 move took 17s
17315/50614 done, 2497s remaining
17443/50614 done, 2487s remaining
17483/50614 done, 2517s remaining
17526/50614 done, 2514s remaining
17565/50614 done, 2544s remaining
17628/50614 done, 2539s remaining
17680/50614 done, 2535s remaining
17768/50614 done, 2529s remaining
Analyzing round 17 move took 14s
17788/50614 done, 2560s remaining
17842/50614 done, 2588s remaining
17936/50614 done, 2581s remaining
18005/50614 done, 2576s remaining
18020/50614 done, 2607s remaining
18087/50614 done, 2602s remaining
18237/50614 done, 2590s remaining
18298/50614 done, 2617s remaining
18363/50614 done, 2612s remaining
18391/50614 done, 2610s remaining
Analyzing round 17 move took 15s
18516/50614 done, 2632s remaining
Analyzing round 17 move took 10s
18530/50614 done, 2662s remaining
Analyzing round 17 move took 14s
18543/50614 done, 2693s remaining
18553/50614 done, 2725s remaining
Analyzing round 17 move took 13s
18583/50614 done, 2722s remaining
Analyzing round 17 move took 10s
18662/50614 done, 2747s remaining
Analyzing round 17 move took 12s
18686/50614 done, 2777s remaining
Analyzing round 17 move took 14s
