v63: R19D24Y: based on partially optimized map of r18d18
Round   Moves  Terminal      Wins    Losses Different
 1          1         0         0         0         0
 2          4         0         0         0         0
 3          4         0         0         0         0
 4         19         0         0         0         0
 5         19         0         0         0         0
 6         79         0         0         0         0
 7         46         0         0         0         0
 8        238         0         0         0         0
 9        143         0         0         0         0
10        676         0         0         0         0
11        572        51        51         0         0
12       2372       148       148         0         0
13       2011       321       319         2         0
14       7745      1166      1159         7         0
15       5209      1644      1604        31         7
16      19453      6756      6527       226         1
17       9147      4548      4215       225        22
18      31294     31294     28529      2078       111
19       9966      9966      8363       571       225
------------------------------------------------------
Total   88998     55894     50915      3140       366

v65: R19D24T,  optimized losses with depth 18 (62% complete),
Round   Moves  Terminal      Wins    Losses Different
 1          1         0         0         0         0
 2          4         0         0         0         0
 3          4         0         0         0         0
 4         19         0         0         0         0
 5         19         0         0         0         0
 6         79         0         0         0         0
 7         46         0         0         0         0
 8        238         0         0         0         0
 9        148         0         0         0         0
10        701         0         0         0         0
11        607        51        51         0         0
12       2442       180       180         0         0
13       2213       378       378         0         0
14       7998      1220      1215         5         0
15       5831      1892      1881         7         2
16      20267      6884      6694       188         1
17      10387      5255      4966       182        23
18      33716     33716     30831      2125        74
19      11211     11211      9486       585       184
------------------------------------------------------
Total   95931     60787     55682      3092       284

v66: MapA, after optimizing all losses with depth=17
Round   Moves  Terminal      Wins    Losses Different
 1          1         0         0         0         0
 2          4         0         0         0         0
 3          4         0         0         0         0
 4         19         0         0         0         0
 5         19         0         0         0         0
 6         79         0         0         0         0
 7         46         0         0         0         0
 8        244         0         0         0         0
 9        148         0         0         0         0
10        753         6         6         0         0
11        606        50        50         0         0
12       2670       232       232         0         0
13       2219       379       379         0         0
14       8829      1411      1406         5         1
15       5922      1907      1896         7         2
16      22773      7684      7500       178        27
17      10686      5355      5094       163        22
18      39556     39556     35808      2293       372
19      11718     11718      9991       570       180
-----------------------------------------------------
Total   106296     68298     62362      3216      604

